datetime,id
2020-08-09 08:02:50,00001
2020-08-09 08:04:17,00002
2020-08-09 08:04:56,00003
2020-08-09 08:06:28,00004
2020-08-09 08:07:52,00005
2020-08-09 08:09:41,00006
2020-08-09 08:11:38,00007
2020-08-09 08:16:46,00008
2020-08-09 08:17:53,00009
2020-08-09 08:24:05,00010
2020-08-09 08:25:03,00011
2020-08-09 08:25:08,00012
2020-08-09 08:30:23,00013
2020-08-09 08:31:26,00014
2020-08-09 08:34:32,00015
2020-08-09 08:34:40,00016
2020-08-09 08:36:16,00017
2020-08-09 08:38:05,00018
2020-08-09 08:39:13,00019
2020-08-09 08:46:29,00020
2020-08-09 08:47:27,00021
2020-08-09 08:51:05,00022
2020-08-09 08:52:07,00023
2020-08-09 08:54:12,00024
2020-08-09 08:57:05,00025
2020-08-09 08:58:32,00026
2020-08-09 08:58:50,00027
2020-08-09 08:59:11,00028
2020-08-09 08:59:36,00029
2020-08-09 08:59:43,00030
2020-08-09 08:59:53,00031
2020-08-09 09:00:35,00032
2020-08-09 09:01:50,00033
2020-08-09 09:02:13,00034
2020-08-09 09:03:59,00035
2020-08-09 09:10:53,00036
2020-08-09 09:11:37,00037
2020-08-09 09:12:59,00038
2020-08-09 09:14:12,00039
2020-08-09 09:15:40,00040
2020-08-09 09:17:06,00041
2020-08-09 09:18:50,00042
2020-08-09 09:23:42,00043
2020-08-09 09:25:17,00044
2020-08-09 09:25:17,00045
2020-08-09 09:31:41,00046
2020-08-09 09:33:29,00047
2020-08-09 09:37:02,00048
2020-08-09 09:37:56,00049
2020-08-09 09:41:12,00050
2020-08-09 09:41:15,00051
2020-08-09 09:47:16,00052
2020-08-09 09:49:18,00053
2020-08-09 09:50:14,00054
2020-08-09 09:50:28,00055
2020-08-09 09:51:09,00056
2020-08-09 09:51:23,00057
2020-08-09 09:51:49,00058
2020-08-09 09:53:11,00059
2020-08-09 09:53:44,00060
2020-08-09 09:53:58,00061
2020-08-09 09:54:26,00062
2020-08-09 09:54:53,00063
2020-08-09 09:54:54,00064
2020-08-09 09:55:22,00065
2020-08-09 09:55:54,00066
2020-08-09 09:56:21,00067
2020-08-09 09:57:08,00068
2020-08-09 09:58:11,00069
2020-08-09 09:59:30,00070
2020-08-09 10:00:49,00071
